  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
 43  0.0000E+00  0.0000E+00  0.0000E+00
 44  0.0000E+00  0.0000E+00  0.0000E+00
 45  0.0000E+00  0.0000E+00  0.0000E+00
 46  0.0000E+00  0.0000E+00  0.0000E+00
 47  0.0000E+00  0.0000E+00  0.0000E+00
 48  0.0000E+00  0.0000E+00  0.0000E+00
 49  0.0000E+00  0.0000E+00  0.0000E+00
 50  0.0000E+00  0.0000E+00  0.0000E+00
 51  0.0000E+00  0.0000E+00  0.0000E+00
 52  0.0000E+00  0.0000E+00  0.0000E+00
 53  0.0000E+00  0.0000E+00  0.0000E+00
 54  0.0000E+00  0.0000E+00  0.0000E+00
 55  0.0000E+00  0.0000E+00  0.0000E+00
 56  0.0000E+00  0.0000E+00  0.0000E+00
 57  0.0000E+00  0.0000E+00  0.0000E+00
 58  0.0000E+00  0.0000E+00  0.0000E+00
 59  0.0000E+00  0.0000E+00  0.0000E+00
 60  0.0000E+00  0.0000E+00  0.0000E+00
 61  0.0000E+00  0.0000E+00  0.0000E+00
 62  0.0000E+00  0.0000E+00  0.0000E+00
 63  0.0000E+00  0.0000E+00  0.0000E+00
 64  0.0000E+00  0.0000E+00  0.0000E+00
 65  0.0000E+00  0.0000E+00  0.0000E+00
 66  0.0000E+00  0.0000E+00  0.0000E+00
 67  0.0000E+00  0.0000E+00  0.0000E+00
 68  0.0000E+00  0.0000E+00  0.0000E+00
 69  0.0000E+00  0.0000E+00  0.0000E+00
 70  0.0000E+00  0.0000E+00  0.0000E+00
 71  0.0000E+00  0.0000E+00  0.0000E+00
 72  0.0000E+00  0.0000E+00  0.0000E+00
 73  0.0000E+00  0.0000E+00  0.0000E+00
 74  0.0000E+00  0.0000E+00  0.0000E+00
 75  0.0000E+00  0.0000E+00  0.0000E+00
 76  0.0000E+00  0.0000E+00  0.0000E+00
 77  0.0000E+00  0.0000E+00  0.0000E+00
 78  0.0000E+00  0.0000E+00  0.0000E+00
 79  0.0000E+00  0.0000E+00  0.0000E+00
 80  3.3076E-04  1.0994E-03  7.6409E-02
 81  3.2460E-04  1.0789E-03  5.7370E-02
 82  3.2021E-04  1.0643E-03  3.7666E+02
 83  3.1688E-04  1.0533E-03  4.7306E+02
 84  3.1341E-04  1.0417E-03  5.9472E+02
 85  3.0977E-04  1.0296E-03  7.4765E+02
 86  3.0592E-04  1.0169E-03  9.3857E+02
 87  3.0185E-04  1.0033E-03  1.1743E+03
 88  2.9752E-04  9.8891E-04  1.4611E+03
 89  2.9287E-04  9.7345E-04  1.8030E+03
 90  2.8784E-04  9.5676E-04  2.2001E+03
 91  2.8238E-04  9.3860E-04  2.6471E+03
 92  2.7639E-04  9.1869E-04  3.1319E+03
 93  2.6995E-04  8.9728E-04  3.6268E+03
 94  2.6260E-04  8.7286E-04  4.1147E+03
 95  2.5431E-04  8.4531E-04  4.5522E+03
 96  2.4480E-04  8.1370E-04  4.8584E+03
 97  2.4213E-04  8.0480E-04  4.5752E+03
 98  2.4084E-04  8.0053E-04  3.4296E+03
 99  2.3952E-04  7.9613E-04  1.1452E+03
100  0.0000E+00  0.0000E+00  0.0000E+00
 
  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
  1  0.0000E+00  0.0000E+00  0.0000E+00
  2  0.0000E+00  0.0000E+00  0.0000E+00
  3  0.0000E+00  0.0000E+00  0.0000E+00
  4  0.0000E+00  0.0000E+00  0.0000E+00
  5  0.0000E+00  0.0000E+00  0.0000E+00
  6  0.0000E+00  0.0000E+00  0.0000E+00
  7  0.0000E+00  0.0000E+00  0.0000E+00
  8  0.0000E+00  0.0000E+00  0.0000E+00
  9  0.0000E+00  0.0000E+00  0.0000E+00
 10  0.0000E+00  0.0000E+00  0.0000E+00
 11  0.0000E+00  0.0000E+00  0.0000E+00
 12  0.0000E+00  0.0000E+00  0.0000E+00
 13  0.0000E+00  0.0000E+00  0.0000E+00
 14  0.0000E+00  0.0000E+00  0.0000E+00
 15  0.0000E+00  0.0000E+00  0.0000E+00
 16  0.0000E+00  0.0000E+00  0.0000E+00
 17  0.0000E+00  0.0000E+00  0.0000E+00
 18  0.0000E+00  0.0000E+00  0.0000E+00
 19  0.0000E+00  0.0000E+00  0.0000E+00
 20  0.0000E+00  0.0000E+00  0.0000E+00
 21  0.0000E+00  0.0000E+00  0.0000E+00
 22  0.0000E+00  0.0000E+00  0.0000E+00
 23  0.0000E+00  0.0000E+00  0.0000E+00
 24  0.0000E+00  0.0000E+00  0.0000E+00
 25  0.0000E+00  0.0000E+00  0.0000E+00
 26  0.0000E+00  0.0000E+00  0.0000E+00
 27  0.0000E+00  0.0000E+00  0.0000E+00
 28  0.0000E+00  0.0000E+00  0.0000E+00
 29  0.0000E+00  0.0000E+00  0.0000E+00
 30  0.0000E+00  0.0000E+00  0.0000E+00
 31  0.0000E+00  0.0000E+00  0.0000E+00
 32  0.0000E+00  0.0000E+00  0.0000E+00
 33  0.0000E+00  0.0000E+00  0.0000E+00
 34  0.0000E+00  0.0000E+00  0.0000E+00
 35  0.0000E+00  0.0000E+00  0.0000E+00
 36  0.0000E+00  0.0000E+00  0.0000E+00
 37  0.0000E+00  0.0000E+00  0.0000E+00
 38  0.0000E+00  0.0000E+00  0.0000E+00
 39  0.0000E+00  0.0000E+00  0.0000E+00
 40  0.0000E+00  0.0000E+00  0.0000E+00
 41  0.0000E+00  0.0000E+00  0.0000E+00
 42  0.0000E+00  0.0000E+00  0.0000E+00
 43  0.0000E+00  0.0000E+00  0.0000E+00
 44  0.0000E+00  0.0000E+00  0.0000E+00
 45  0.0000E+00  0.0000E+00  0.0000E+00
 46  0.0000E+00  0.0000E+00  0.0000E+00
 47  0.0000E+00  0.0000E+00  0.0000E+00
 48  0.0000E+00  0.0000E+00  0.0000E+00
 49  0.0000E+00  0.0000E+00  0.0000E+00
 50  0.0000E+00  0.0000E+00  0.0000E+00
 51  0.0000E+00  0.0000E+00  0.0000E+00
 52  0.0000E+00  0.0000E+00  0.0000E+00
 53  0.0000E+00  0.0000E+00  0.0000E+00
 54  0.0000E+00  0.0000E+00  0.0000E+00
 55  0.0000E+00  0.0000E+00  0.0000E+00
 56  0.0000E+00  0.0000E+00  0.0000E+00
 57  0.0000E+00  0.0000E+00  0.0000E+00
 58  0.0000E+00  0.0000E+00  0.0000E+00
 59  0.0000E+00  0.0000E+00  0.0000E+00
 60  0.0000E+00  0.0000E+00  0.0000E+00
 61  0.0000E+00  0.0000E+00  0.0000E+00
 62  0.0000E+00  0.0000E+00  0.0000E+00
 63  0.0000E+00  0.0000E+00  0.0000E+00
 64  0.0000E+00  0.0000E+00  0.0000E+00
 65  0.0000E+00  0.0000E+00  0.0000E+00
 66  0.0000E+00  0.0000E+00  0.0000E+00
 67  0.0000E+00  0.0000E+00  0.0000E+00
 68  0.0000E+00  0.0000E+00  0.0000E+00
 69  0.0000E+00  0.0000E+00  0.0000E+00
 70  0.0000E+00  0.0000E+00  0.0000E+00
 71  0.0000E+00  0.0000E+00  0.0000E+00
 72  0.0000E+00  0.0000E+00  0.0000E+00
 73  0.0000E+00  0.0000E+00  0.0000E+00
 74  0.0000E+00  0.0000E+00  0.0000E+00
 75  0.0000E+00  0.0000E+00  0.0000E+00
 76  0.0000E+00  0.0000E+00  0.0000E+00
 77  0.0000E+00  0.0000E+00  0.0000E+00
 78  0.0000E+00  0.0000E+00  0.0000E+00
 79  0.0000E+00  0.0000E+00  0.0000E+00
 80  3.8697E-04  1.2862E-03  5.2476E-02
 81  3.8636E-04  1.2842E-03  6.1357E-02
 82  6.7776E-04  2.2528E-03  3.4657E+01
 83  6.7177E-04  2.2329E-03  4.3515E+01
 84  6.6920E-04  2.2243E-03  5.3566E+01
 85  6.6901E-04  2.2237E-03  6.5126E+01
 86  6.7039E-04  2.2283E-03  7.8357E+01
 87  6.7176E-04  2.2329E-03  9.3756E+01
 88  6.7201E-04  2.2337E-03  1.1180E+02
 89  6.7019E-04  2.2276E-03  1.3301E+02
 90  6.6635E-04  2.2149E-03  1.5728E+02
 91  6.6055E-04  2.1956E-03  1.8411E+02
 92  6.5242E-04  2.1686E-03  2.1298E+02
 93  6.4122E-04  2.1313E-03  2.4349E+02
 94  6.2594E-04  2.0805E-03  2.7558E+02
 95  6.0546E-04  2.0125E-03  3.0953E+02
 96  5.7916E-04  1.9251E-03  3.4002E+02
 97  5.7806E-04  1.9214E-03  3.0622E+02
 98  5.8267E-04  1.9367E-03  2.2110E+02
 99  5.8583E-04  1.9472E-03  7.1700E+01
100  0.0000E+00  0.0000E+00  0.0000E+00
 
  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
  1  0.0000E+00  0.0000E+00  0.0000E+00
  2  0.0000E+00  0.0000E+00  0.0000E+00
  3  0.0000E+00  0.0000E+00  0.0000E+00
  4  0.0000E+00  0.0000E+00  0.0000E+00
  5  0.0000E+00  0.0000E+00  0.0000E+00
  6  0.0000E+00  0.0000E+00  0.0000E+00
  7  0.0000E+00  0.0000E+00  0.0000E+00
  8  0.0000E+00  0.0000E+00  0.0000E+00
  9  0.0000E+00  0.0000E+00  0.0000E+00
 10  0.0000E+00  0.0000E+00  0.0000E+00
 11  0.0000E+00  0.0000E+00  0.0000E+00
 12  0.0000E+00  0.0000E+00  0.0000E+00
 13  0.0000E+00  0.0000E+00  0.0000E+00
 14  0.0000E+00  0.0000E+00  0.0000E+00
 15  0.0000E+00  0.0000E+00  0.0000E+00
 16  0.0000E+00  0.0000E+00  0.0000E+00
 17  0.0000E+00  0.0000E+00  0.0000E+00
 18  0.0000E+00  0.0000E+00  0.0000E+00
 19  0.0000E+00  0.0000E+00  0.0000E+00
 20  0.0000E+00  0.0000E+00  0.0000E+00
 21  0.0000E+00  0.0000E+00  0.0000E+00
 22  0.0000E+00  0.0000E+00  0.0000E+00
 23  0.0000E+00  0.0000E+00  0.0000E+00
 24  0.0000E+00  0.0000E+00  0.0000E+00
 25  0.0000E+00  0.0000E+00  0.0000E+00
 26  0.0000E+00  0.0000E+00  0.0000E+00
 27  0.0000E+00  0.0000E+00  0.0000E+00
 28  0.0000E+00  0.0000E+00  0.0000E+00
 29  0.0000E+00  0.0000E+00  0.0000E+00
 30  0.0000E+00  0.0000E+00  0.0000E+00
 31  0.0000E+00  0.0000E+00  0.0000E+00
 32  0.0000E+00  0.0000E+00  0.0000E+00
 33  0.0000E+00  0.0000E+00  0.0000E+00
 34  0.0000E+00  0.0000E+00  0.0000E+00
 35  0.0000E+00  0.0000E+00  0.0000E+00
 36  0.0000E+00  0.0000E+00  0.0000E+00
 37  0.0000E+00  0.0000E+00  0.0000E+00
 38  0.0000E+00  0.0000E+00  0.0000E+00
 39  0.0000E+00  0.0000E+00  0.0000E+00
 40  0.0000E+00  0.0000E+00  0.0000E+00
 41  0.0000E+00  0.0000E+00  0.0000E+00
 42  0.0000E+00  0.0000E+00  0.0000E+00
 43  0.0000E+00  0.0000E+00  0.0000E+00
 44  0.0000E+00  0.0000E+00  0.0000E+00
 45  0.0000E+00  0.0000E+00  0.0000E+00
 46  0.0000E+00  0.0000E+00  0.0000E+00
 47  0.0000E+00  0.0000E+00  0.0000E+00
 48  0.0000E+00  0.0000E+00  0.0000E+00
 49  0.0000E+00  0.0000E+00  0.0000E+00
 50  0.0000E+00  0.0000E+00  0.0000E+00
 51  0.0000E+00  0.0000E+00  0.0000E+00
 52  0.0000E+00  0.0000E+00  0.0000E+00
 53  0.0000E+00  0.0000E+00  0.0000E+00
 54  0.0000E+00  0.0000E+00  0.0000E+00
 55  0.0000E+00  0.0000E+00  0.0000E+00
 56  0.0000E+00  0.0000E+00  0.0000E+00
 57  0.0000E+00  0.0000E+00  0.0000E+00
 58  0.0000E+00  0.0000E+00  0.0000E+00
 59  0.0000E+00  0.0000E+00  0.0000E+00
 60  0.0000E+00  0.0000E+00  0.0000E+00
 61  0.0000E+00  0.0000E+00  0.0000E+00
 62  0.0000E+00  0.0000E+00  0.0000E+00
 63  0.0000E+00  0.0000E+00  0.0000E+00
 64  0.0000E+00  0.0000E+00  0.0000E+00
 65  0.0000E+00  0.0000E+00  0.0000E+00
 66  0.0000E+00  0.0000E+00  0.0000E+00
 67  0.0000E+00  0.0000E+00  0.0000E+00
 68  0.0000E+00  0.0000E+00  0.0000E+00
 69  0.0000E+00  0.0000E+00  0.0000E+00
 70  0.0000E+00  0.0000E+00  0.0000E+00
 71  0.0000E+00  0.0000E+00  0.0000E+00
 72  0.0000E+00  0.0000E+00  0.0000E+00
 73  0.0000E+00  0.0000E+00  0.0000E+00
 74  0.0000E+00  0.0000E+00  0.0000E+00
 75  0.0000E+00  0.0000E+00  0.0000E+00
 76  0.0000E+00  0.0000E+00  0.0000E+00
 77  0.0000E+00  0.0000E+00  0.0000E+00
 78  0.0000E+00  0.0000E+00  0.0000E+00
 79  0.0000E+00  0.0000E+00  0.0000E+00
 80  4.6281E-04  1.5383E-03  2.9535E-02
 81  4.6267E-04  1.5378E-03  3.7238E-02
 82  6.9751E-04  2.3184E-03  2.9255E+01
 83  6.8792E-04  2.2866E-03  3.7391E+01
 84  6.8332E-04  2.2713E-03  4.6439E+01
 85  6.8122E-04  2.2643E-03  5.6962E+01
 86  6.8038E-04  2.2615E-03  6.9262E+01
 87  6.8057E-04  2.2621E-03  8.3383E+01
 88  6.8002E-04  2.2603E-03  9.9898E+01
 89  6.7759E-04  2.2522E-03  1.1933E+02
 90  6.7310E-04  2.2373E-03  1.4172E+02
 91  6.6700E-04  2.2170E-03  1.6641E+02
 92  6.5857E-04  2.1890E-03  1.9316E+02
 93  6.4703E-04  2.1507E-03  2.2171E+02
 94  6.3154E-04  2.0992E-03  2.5195E+02
 95  6.1091E-04  2.0306E-03  2.8442E+02
 96  5.8435E-04  1.9423E-03  3.1511E+02
 97  5.8287E-04  1.9374E-03  2.7925E+02
 98  5.8639E-04  1.9491E-03  2.0085E+02
 99  5.8888E-04  1.9574E-03  6.0520E+01
100  0.0000E+00  0.0000E+00  0.0000E+00
 
  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
  1  0.0000E+00  0.0000E+00  0.0000E+00
  2  0.0000E+00  0.0000E+00  0.0000E+00
  3  0.0000E+00  0.0000E+00  0.0000E+00
  4  0.0000E+00  0.0000E+00  0.0000E+00
  5  0.0000E+00  0.0000E+00  0.0000E+00
  6  0.0000E+00  0.0000E+00  0.0000E+00
  7  0.0000E+00  0.0000E+00  0.0000E+00
  8  0.0000E+00  0.0000E+00  0.0000E+00
  9  0.0000E+00  0.0000E+00  0.0000E+00
 10  0.0000E+00  0.0000E+00  0.0000E+00
 11  0.0000E+00  0.0000E+00  0.0000E+00
 12  0.0000E+00  0.0000E+00  0.0000E+00
 13  0.0000E+00  0.0000E+00  0.0000E+00
 14  0.0000E+00  0.0000E+00  0.0000E+00
 15  0.0000E+00  0.0000E+00  0.0000E+00
 16  0.0000E+00  0.0000E+00  0.0000E+00
 17  0.0000E+00  0.0000E+00  0.0000E+00
 18  0.0000E+00  0.0000E+00  0.0000E+00
 19  0.0000E+00  0.0000E+00  0.0000E+00
 20  0.0000E+00  0.0000E+00  0.0000E+00
 21  0.0000E+00  0.0000E+00  0.0000E+00
 22  0.0000E+00  0.0000E+00  0.0000E+00
 23  0.0000E+00  0.0000E+00  0.0000E+00
 24  0.0000E+00  0.0000E+00  0.0000E+00
 25  0.0000E+00  0.0000E+00  0.0000E+00
 26  0.0000E+00  0.0000E+00  0.0000E+00
 27  0.0000E+00  0.0000E+00  0.0000E+00
 28  0.0000E+00  0.0000E+00  0.0000E+00
 29  0.0000E+00  0.0000E+00  0.0000E+00
 30  0.0000E+00  0.0000E+00  0.0000E+00
 31  0.0000E+00  0.0000E+00  0.0000E+00
 32  0.0000E+00  0.0000E+00  0.0000E+00
 33  0.0000E+00  0.0000E+00  0.0000E+00
 34  0.0000E+00  0.0000E+00  0.0000E+00
 35  0.0000E+00  0.0000E+00  0.0000E+00
 36  0.0000E+00  0.0000E+00  0.0000E+00
 37  0.0000E+00  0.0000E+00  0.0000E+00
 38  0.0000E+00  0.0000E+00  0.0000E+00
 39  0.0000E+00  0.0000E+00  0.0000E+00
 40  0.0000E+00  0.0000E+00  0.0000E+00
 41  0.0000E+00  0.0000E+00  0.0000E+00
 42  0.0000E+00  0.0000E+00  0.0000E+00
 43  0.0000E+00  0.0000E+00  0.0000E+00
 44  0.0000E+00  0.0000E+00  0.0000E+00
 45  0.0000E+00  0.0000E+00  0.0000E+00
 46  0.0000E+00  0.0000E+00  0.0000E+00
 47  0.0000E+00  0.0000E+00  0.0000E+00
 48  0.0000E+00  0.0000E+00  0.0000E+00
 49  0.0000E+00  0.0000E+00  0.0000E+00
 50  0.0000E+00  0.0000E+00  0.0000E+00
 51  0.0000E+00  0.0000E+00  0.0000E+00
 52  0.0000E+00  0.0000E+00  0.0000E+00
 53  0.0000E+00  0.0000E+00  0.0000E+00
 54  0.0000E+00  0.0000E+00  0.0000E+00
 55  0.0000E+00  0.0000E+00  0.0000E+00
 56  0.0000E+00  0.0000E+00  0.0000E+00
 57  0.0000E+00  0.0000E+00  0.0000E+00
 58  0.0000E+00  0.0000E+00  0.0000E+00
 59  0.0000E+00  0.0000E+00  0.0000E+00
 60  0.0000E+00  0.0000E+00  0.0000E+00
 61  0.0000E+00  0.0000E+00  0.0000E+00
 62  0.0000E+00  0.0000E+00  0.0000E+00
 63  0.0000E+00  0.0000E+00  0.0000E+00
 64  0.0000E+00  0.0000E+00  0.0000E+00
 65  0.0000E+00  0.0000E+00  0.0000E+00
 66  0.0000E+00  0.0000E+00  0.0000E+00
 67  0.0000E+00  0.0000E+00  0.0000E+00
 68  0.0000E+00  0.0000E+00  0.0000E+00
 69  0.0000E+00  0.0000E+00  0.0000E+00
 70  0.0000E+00  0.0000E+00  0.0000E+00
 71  0.0000E+00  0.0000E+00  0.0000E+00
 72  0.0000E+00  0.0000E+00  0.0000E+00
 73  0.0000E+00  0.0000E+00  0.0000E+00
 74  0.0000E+00  0.0000E+00  0.0000E+00
 75  0.0000E+00  0.0000E+00  0.0000E+00
 76  0.0000E+00  0.0000E+00  0.0000E+00
 77  0.0000E+00  0.0000E+00  0.0000E+00
 78  0.0000E+00  0.0000E+00  0.0000E+00
 79  0.0000E+00  0.0000E+00  0.0000E+00
 80  4.8442E-04  1.6102E-03  2.4112E-02
 81  4.8341E-04  1.6068E-03  3.5214E-02
 82  7.0370E-04  2.3390E-03  2.6692E+01
 83  6.9252E-04  2.3018E-03  3.4412E+01
 84  6.8740E-04  2.2848E-03  4.2838E+01
 85  6.8438E-04  2.2748E-03  5.2774E+01
 86  6.8296E-04  2.2701E-03  6.4363E+01
 87  6.8256E-04  2.2687E-03  7.7744E+01
 88  6.8168E-04  2.2658E-03  9.3362E+01
 89  6.7923E-04  2.2577E-03  1.1165E+02
 90  6.7443E-04  2.2417E-03  1.3297E+02
 91  6.6809E-04  2.2206E-03  1.5657E+02
 92  6.5953E-04  2.1922E-03  1.8220E+02
 93  6.4797E-04  2.1538E-03  2.0967E+02
 94  6.3245E-04  2.1022E-03  2.3907E+02
 95  6.1202E-04  2.0343E-03  2.7086E+02
 96  5.8546E-04  1.9460E-03  3.0236E+02
 97  5.8391E-04  1.9408E-03  2.6521E+02
 98  5.8707E-04  1.9514E-03  1.9100E+02
 99  5.8918E-04  1.9584E-03  5.7112E+01
100  0.0000E+00  0.0000E+00  0.0000E+00
 
  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
  1  0.0000E+00  0.0000E+00  0.0000E+00
  2  0.0000E+00  0.0000E+00  0.0000E+00
  3  0.0000E+00  0.0000E+00  0.0000E+00
  4  0.0000E+00  0.0000E+00  0.0000E+00
  5  0.0000E+00  0.0000E+00  0.0000E+00
  6  0.0000E+00  0.0000E+00  0.0000E+00
  7  0.0000E+00  0.0000E+00  0.0000E+00
  8  0.0000E+00  0.0000E+00  0.0000E+00
  9  0.0000E+00  0.0000E+00  0.0000E+00
 10  0.0000E+00  0.0000E+00  0.0000E+00
 11  0.0000E+00  0.0000E+00  0.0000E+00
 12  0.0000E+00  0.0000E+00  0.0000E+00
 13  0.0000E+00  0.0000E+00  0.0000E+00
 14  0.0000E+00  0.0000E+00  0.0000E+00
 15  0.0000E+00  0.0000E+00  0.0000E+00
 16  0.0000E+00  0.0000E+00  0.0000E+00
 17  0.0000E+00  0.0000E+00  0.0000E+00
 18  0.0000E+00  0.0000E+00  0.0000E+00
 19  0.0000E+00  0.0000E+00  0.0000E+00
 20  0.0000E+00  0.0000E+00  0.0000E+00
 21  0.0000E+00  0.0000E+00  0.0000E+00
 22  0.0000E+00  0.0000E+00  0.0000E+00
 23  0.0000E+00  0.0000E+00  0.0000E+00
 24  0.0000E+00  0.0000E+00  0.0000E+00
 25  0.0000E+00  0.0000E+00  0.0000E+00
 26  0.0000E+00  0.0000E+00  0.0000E+00
 27  0.0000E+00  0.0000E+00  0.0000E+00
 28  0.0000E+00  0.0000E+00  0.0000E+00
 29  0.0000E+00  0.0000E+00  0.0000E+00
 30  0.0000E+00  0.0000E+00  0.0000E+00
 31  0.0000E+00  0.0000E+00  0.0000E+00
 32  0.0000E+00  0.0000E+00  0.0000E+00
 33  0.0000E+00  0.0000E+00  0.0000E+00
 34  0.0000E+00  0.0000E+00  0.0000E+00
 35  0.0000E+00  0.0000E+00  0.0000E+00
 36  0.0000E+00  0.0000E+00  0.0000E+00
 37  0.0000E+00  0.0000E+00  0.0000E+00
 38  0.0000E+00  0.0000E+00  0.0000E+00
 39  0.0000E+00  0.0000E+00  0.0000E+00
 40  0.0000E+00  0.0000E+00  0.0000E+00
 41  0.0000E+00  0.0000E+00  0.0000E+00
 42  0.0000E+00  0.0000E+00  0.0000E+00
 43  0.0000E+00  0.0000E+00  0.0000E+00
 44  0.0000E+00  0.0000E+00  0.0000E+00
 45  0.0000E+00  0.0000E+00  0.0000E+00
 46  0.0000E+00  0.0000E+00  0.0000E+00
 47  0.0000E+00  0.0000E+00  0.0000E+00
 48  0.0000E+00  0.0000E+00  0.0000E+00
 49  0.0000E+00  0.0000E+00  0.0000E+00
 50  0.0000E+00  0.0000E+00  0.0000E+00
 51  0.0000E+00  0.0000E+00  0.0000E+00
 52  0.0000E+00  0.0000E+00  0.0000E+00
 53  0.0000E+00  0.0000E+00  0.0000E+00
 54  0.0000E+00  0.0000E+00  0.0000E+00
 55  0.0000E+00  0.0000E+00  0.0000E+00
 56  0.0000E+00  0.0000E+00  0.0000E+00
 57  0.0000E+00  0.0000E+00  0.0000E+00
 58  0.0000E+00  0.0000E+00  0.0000E+00
 59  0.0000E+00  0.0000E+00  0.0000E+00
 60  0.0000E+00  0.0000E+00  0.0000E+00
 61  0.0000E+00  0.0000E+00  0.0000E+00
 62  0.0000E+00  0.0000E+00  0.0000E+00
 63  0.0000E+00  0.0000E+00  0.0000E+00
 64  0.0000E+00  0.0000E+00  0.0000E+00
 65  0.0000E+00  0.0000E+00  0.0000E+00
 66  0.0000E+00  0.0000E+00  0.0000E+00
 67  0.0000E+00  0.0000E+00  0.0000E+00
 68  0.0000E+00  0.0000E+00  0.0000E+00
 69  0.0000E+00  0.0000E+00  0.0000E+00
 70  0.0000E+00  0.0000E+00  0.0000E+00
 71  0.0000E+00  0.0000E+00  0.0000E+00
 72  0.0000E+00  0.0000E+00  0.0000E+00
 73  0.0000E+00  0.0000E+00  0.0000E+00
 74  0.0000E+00  0.0000E+00  0.0000E+00
 75  0.0000E+00  0.0000E+00  0.0000E+00
 76  0.0000E+00  0.0000E+00  0.0000E+00
 77  0.0000E+00  0.0000E+00  0.0000E+00
 78  0.0000E+00  0.0000E+00  0.0000E+00
 79  0.0000E+00  0.0000E+00  0.0000E+00
 80  5.0013E-04  1.6624E-03  2.0542E-02
 81  4.9919E-04  1.6593E-03  3.4509E-02
 82  7.0832E-04  2.3544E-03  2.4896E+01
 83  6.9597E-04  2.3133E-03  3.2299E+01
 84  6.9043E-04  2.2949E-03  4.0282E+01
 85  6.8677E-04  2.2828E-03  4.9773E+01
 86  6.8504E-04  2.2770E-03  6.0812E+01
 87  6.8413E-04  2.2740E-03  7.3660E+01
 88  6.8299E-04  2.2702E-03  8.8627E+01
 89  6.8043E-04  2.2617E-03  1.0614E+02
 90  6.7549E-04  2.2452E-03  1.2663E+02
 91  6.6893E-04  2.2235E-03  1.4946E+02
 92  6.6027E-04  2.1947E-03  1.7433E+02
 93  6.4864E-04  2.1560E-03  2.0114E+02
 94  6.3315E-04  2.1045E-03  2.3003E+02
 95  6.1280E-04  2.0369E-03  2.6168E+02
 96  5.8629E-04  1.9488E-03  2.9426E+02
 97  5.8472E-04  1.9435E-03  2.5709E+02
 98  5.8771E-04  1.9535E-03  1.8706E+02
 99  5.8953E-04  1.9595E-03  5.9638E+01
100  0.0000E+00  0.0000E+00  0.0000E+00
 
  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
  1  0.0000E+00  0.0000E+00  0.0000E+00
  2  0.0000E+00  0.0000E+00  0.0000E+00
  3  0.0000E+00  0.0000E+00  0.0000E+00
  4  0.0000E+00  0.0000E+00  0.0000E+00
  5  0.0000E+00  0.0000E+00  0.0000E+00
  6  0.0000E+00  0.0000E+00  0.0000E+00
  7  0.0000E+00  0.0000E+00  0.0000E+00
  8  0.0000E+00  0.0000E+00  0.0000E+00
  9  0.0000E+00  0.0000E+00  0.0000E+00
 10  0.0000E+00  0.0000E+00  0.0000E+00
